id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
1191,Backen,Verb/Nomen,Backen,To Bake,Leisure & Hobbies,Meine Mutter liebt es zu backen.,My mother loves to bake.,—,—
1192,Basteln,Verb/Nomen,Basteln,To Do Crafts,Leisure & Hobbies,Die Kinder basteln gerne mit Papier.,The children like to do crafts with paper.,—,—
1193,Tanzen,Verb/Nomen,Tanzen,To Dance,Leisure & Hobbies,Wir tanzen gerne Salsa.,We like dancing salsa.,—,—
1194,Das Erntedankfest,das (neutrum),Erntedankfest,The Harvest Festival / Thanksgiving,Travel & Transportation,Wir feiern das Erntedankfest mit einem großen Essen.,We celebrate the harvest festival with a big meal.,Erntedankfeste,—
1195,Das Feuerwerk,das (neutrum),Feuerwerk,The Fireworks / The Firework Display,Travel & Transportation,Um Mitternacht schauen wir uns das Feuerwerk an.,At midnight we watch the fireworks.,Feuerwerke,—
1196,Das Geschenk,das (neutrum),Geschenk,The Gift / The Present,Travel & Transportation,Sie bekommt ein schönes Geschenk zum Geburtstag.,She receives a nice present for her birthday.,Geschenke,—
1197,Das Jubiläum,das (neutrum),Jubiläum,The Anniversary / The Jubilee,Travel & Transportation,Das Unternehmen begeht sein 50-jähriges Jubiläum.,The company is celebrating its 50th anniversary.,Jubiläen,—
1198,Das Kostüm,das (neutrum),Kostüm,The Costume,Travel & Transportation,Zum Karneval trägt sie ein lustiges Kostüm.,She wears a funny costume for carnival.,Kostüme,—
1199,Das Neujahr,das (neutrum),Neujahr,(The) New Year’S Day,Travel & Transportation,Wir begrüßen das Neujahr mit Sekt und guten Wünschen.,We welcome the New Year with sparkling wine and good wishes.,—,—
1200,Ostern,das (neutrum),Ostern,Easter,Travel & Transportation,Ostern feiern wir mit der ganzen Familie.,We celebrate Easter with the whole family.,—,—
1201,Silvester,das (neutrum),Silvester,New Year’S Eve,Travel & Transportation,An Silvester stoßen wir mit Sekt auf das neue Jahr an.,"On New Year’s Eve, we toast the new year with sparkling wine.",—,—
1202,Das Fest,das (neutrum)/adjektiv,Fest,The Festival / The Celebration,Travel & Transportation,Das Fest dauert bis spät in die Nacht.,The party lasts until late at night.,Feste,—
1203,(Der) Nikolaus,der (maskulin),Nikolaus,St. Nicholas,Travel & Transportation,Der Nikolaus bringt am 6. Dezember kleine Geschenke.,St. Nicholas brings small gifts on December 6.,—,—
1204,Der Advent,der (maskulin),Advent,The Advent,Travel & Transportation,Der Advent beginnt vier Sonntage vor Weihnachten.,The Advent starts four Sundays before Christmas.,—,—
1205,Der Adventskranz,der (maskulin),Adventskranz,The Advent Wreath,Travel & Transportation,Wir zünden jeden Sonntag eine Kerze am Adventskranz an.,We light a candle on the Advent wreath each Sunday.,Adventskränze,—
1206,Der Feiertag,der (maskulin),Feiertag,The (Public) Holiday,Travel & Transportation,An einem Feiertag haben viele Geschäfte geschlossen.,Many stores are closed on a public holiday.,Feiertage,—
1207,Der Geburtstag,der (maskulin),Geburtstag,The Birthday,Travel & Transportation,Ich habe heute Geburtstag und lade meine Familie ein.,"Today is my birthday, and I am inviting my family.",Geburtstage,—
1208,Der Heiligabend,der (maskulin),Heiligabend,(The) Christmas Eve,Travel & Transportation,Am Heiligabend gehen wir in die Kirche.,We go to church on Christmas Eve.,—,—
1209,Der Hochzeitstag,der (maskulin),Hochzeitstag,The Wedding Anniversary,Travel & Transportation,Wir feiern unseren Hochzeitstag mit einem Ausflug.,We celebrate our wedding anniversary with a trip.,Hochzeitstage,—
1210,Der Karneval,der (maskulin),Karneval,The Carnival,Travel & Transportation,Der Karneval bringt viele bunte Umzüge.,The carnival features many colorful parades.,—,—
1211,Der Osterhase,der (maskulin),Osterhase,The Easter Bunny,Travel & Transportation,Der Osterhase versteckt Schokoladeneier im Garten.,The Easter Bunny hides chocolate eggs in the garden.,Osterhasen,—
1212,Der Weihnachtsbaum,der (maskulin),Weihnachtsbaum,The Christmas Tree,Travel & Transportation,Der Weihnachtsbaum steht im Wohnzimmer.,The Christmas tree is in the living room.,Weihnachtsbäume,—
1213,Die Dekoration,die (feminin),Dekoration,The Decoration,Travel & Transportation,Die Dekoration macht das Zimmer festlich.,The decoration makes the room festive.,Dekorationen,Dekoration
1214,Die Einladung,die (feminin),Einladung,The Invitation,Travel & Transportation,Ich schicke die Einladung an meine Freunde.,I am sending the invitation to my friends.,Einladungen,Einladung
1215,Die Feier,die (feminin),Feier,The Celebration / The Party,Travel & Transportation,Die Feier findet im Garten statt.,The celebration takes place in the garden.,Feiern,Feier
1216,Die Geburtstagsfeier,die (feminin),Geburtstagsfeier,The Birthday Party,Travel & Transportation,Die Geburtstagsfeier ist im Garten geplant.,The birthday party is planned in the garden.,Geburtstagsfeiern,Geburtstagsfeier
1217,Die Tradition,die (feminin),Tradition,The Tradition,Travel & Transportation,"Die Tradition verlangt, dass wir einen Tannenbaum schmücken.",The tradition calls for us to decorate a Christmas tree.,Traditionen,—
1218,Weihnachten,Plural,Weihnachten,Christmas,Travel & Transportation,Weihnachten ist für viele Menschen ein Familienfest.,Christmas is a family celebration for many people.,—,—
1219,Das Badezimmer,das (neutrum),Badezimmer,The Bathroom,Home & Living,Wir renovieren das Badezimmer im Frühjahr.,We are renovating the bathroom in spring.,Badezimmer,—
1220,Das Dach,das (neutrum),Dach,The Roof,Home & Living,Das Dach muss dringend repariert werden.,The roof needs urgent repair.,Dächer,—
1221,Das Fenster,das (neutrum),Fenster,The Window,Home & Living,"Öffne das Fenster, es ist zu warm hier drinnen.","Open the window, it’s too warm inside.",Fenster,—
1222,Das Haus,das (neutrum),Haus,The House,Home & Living,Das Haus wurde 1904 erbaut.,The house was built in 1904.,Häuser,—
1223,Das Schlafzimmer,das (neutrum),Schlafzimmer,The Bedroom,Home & Living,Das Schlafzimmer ist sehr geräumig.,The bedroom is very spacious.,Schlafzimmer,—
1224,Das Wohnzimmer,das (neutrum),Wohnzimmer,The Living Room,Home & Living,Das Wohnzimmer ist gemütlich eingerichtet.,The living room is cozily furnished.,Wohnzimmer,—
1225,Das Zimmer,das (neutrum),Zimmer,The Room,Home & Living,Das Zimmer wird mein neues Büro.,The room will be my new office.,Zimmer,—
1226,Der Balkon,der (maskulin),Balkon,The Balcony,Home & Living,Der Balkon bietet einen herrlichen Ausblick.,The balcony offers a magnificent view.,Balkone,—
1227,Der Flur,der (maskulin),Flur,The Corridor,Home & Living,Im Flur steht eine antike Kommode.,There is an antique chest of drawers in the corridor.,Flure,—
1228,Der Garten,der (maskulin),Garten,The Garden,Home & Living,Der Garten blüht im Sommer vollständig auf.,The garden fully blooms in the summer.,Gärten,—
1229,Der Mieter,der (maskulin),Mieter,The Tenant,Home & Living,Der Mieter zahlt seine Miete immer pünktlich.,The tenant always pays his rent on time.,Mieter,Mieterin
1230,Der Umzug,der (maskulin),Umzug,The Move,Home & Living,Der Umzug war anstrengender als erwartet.,The move was more exhausting than expected.,Umzüge,—
1231,Der Vermieter,der (maskulin),Vermieter,The Landlord,Home & Living,Der Vermieter hat die Reparaturen versprochen.,The landlord has promised the repairs.,Vermieter,—
1232,Die Adresse,die (feminin),Adresse,The Address,Home & Living,Die neue Adresse ist leicht zu merken.,The new address is easy to remember.,Adressen,Adresse
1233,Die Küche,die (feminin),Küche,The Kitchen,Home & Living,Die Küche ist das Herz des Hauses.,The kitchen is the heart of the home.,Küchen,Küche
1234,Die Miete,die (feminin),Miete,The Rent,Home & Living,Die Miete steigt jedes Jahr.,The rent increases every year.,Mieten,Miete
1235,Die Mieterin,die (feminin),Mieterin,The Tenant (Female),Home & Living,Die Mieterin hat sich über Lärm beschwert.,The female tenant complained about noise.,Mieterinnen,Mieterin
1236,Die Treppe,die (feminin),Treppe,The Stairs,Home & Living,Die Treppe knarrt bei jedem Schritt.,The stairs creak with every step.,Treppen,—
1237,Die Tür,die (feminin),Tür,The Door,Home & Living,Die Tür klemmt im Winter.,The door jams in the winter.,Türen,—
1238,Die Wohnung,die (feminin),Wohnung,The Flat,Home & Living,Die Wohnung liegt im dritten Stock.,The flat is on the third floor.,Wohnungen,—
1239,Umziehen,Verb,Umziehen,To Move,Home & Living,Nächstes Jahr werden wir nach Berlin umziehen.,"Next year, we will move to Berlin.",—,—
1240,Besetzt,adjektiv,Besetzt,Occupied,Accommodation,Leider sind alle Zimmer besetzt.,"Unfortunately, all rooms are occupied.",—,—
1241,Frei/Verfügbar,adjektiv,Frei/Verfügbar,Available,Accommodation,Haben Sie noch Zimmer frei?,Do you have any rooms available?,—,—
1242,Das Doppelzimmer,das (neutrum),Doppelzimmer,The Double Room,Accommodation,Wir hätten gern ein Doppelzimmer mit Meerblick.,We would like a double room with a sea view.,Doppelzimmer,—
1243,Das Einzelzimmer,das (neutrum),Einzelzimmer,The Single Room,Accommodation,Gibt es noch ein Einzelzimmer frei?,Is there a single room still available?,Einzelzimmer,—
1244,Das Hostel,das (neutrum),Hostel,The Hostel,Accommodation,Das Hostel bietet günstige Übernachtungen.,The hostel offers affordable accommodations.,Hostels,—
1245,Der Aufenthalt,der (maskulin),Aufenthalt,The Stay,Accommodation,"Ich hoffe, Sie genießen Ihren Aufenthalt.",I hope you enjoy your stay.,Aufenthalte,—
1246,Der Aufzug,der (maskulin),Aufzug,The Elevator,Accommodation,Der Aufzug befindet sich neben der Rezeption.,The elevator is located next to the reception.,Aufzüge,—
1247,Der Fernseher,der (maskulin),Fernseher,The Television,Accommodation,Der Fernseher in meinem Zimmer funktioniert nicht.,The television in my room isn’t working.,Fernseher,—
1248,Der Frühstücksraum,der (maskulin),Frühstücksraum,The Breakfast Room,Accommodation,Der Frühstücksraum ist im Erdgeschoss.,The breakfast room is on the ground floor.,Frühstücksräume,—
1249,Der Gast,der (maskulin),Gast,The Guest,Accommodation,Jeder Gast erhält ein Willkommensgetränk.,Every guest receives a welcome drink.,Gäste,gastin
1250,Der Safe,der (maskulin),Safe,The Safe,Accommodation,Sie können Ihre Wertsachen im Safe aufbewahren.,You can store your valuables in the safe.,Safes,—
1251,Der Schlüssel,der (maskulin),Schlüssel,The Key,Accommodation,Hier ist Ihr Schlüssel für Zimmer 101.,Here is your key for room 101.,Schlüssel,—
1252,Der Service,der (maskulin),Service,The Service,Accommodation,Der Service im Hotel ist ausgezeichnet.,The service at the hotel is excellent.,Services,—
1253,Der Zimmerservice,der (maskulin),Zimmerservice,The Room Service,Accommodation,Der Zimmerservice ist bis 22 Uhr verfügbar.,Room service is available until 10 PM.,—,—
1254,Die Buchung,die (feminin),Buchung,The Booking,Accommodation,Haben Sie eine Buchungsbestätigung?,Do you have a booking confirmation?,Buchungen,Buchung
1255,Die Klimaanlage,die (feminin),Klimaanlage,The Air Conditioning,Accommodation,Die Klimaanlage ist individuell einstellbar.,The air conditioning can be adjusted individually.,Klimaanlagen,Klimaanlage
1256,Die Reservierung,die (feminin),Reservierung,The Reservation,Accommodation,Ich habe eine Reservierung auf den Namen Müller.,I have a reservation under the name Müller.,Reservierungen,Reservierung
1257,Die Rezeption,die (feminin),Rezeption,The Reception,Accommodation,Die Rezeption ist rund um die Uhr besetzt.,The reception is staffed around the clock.,—,Rezeption
1258,Die Übernachtung,die (feminin),Übernachtung,The Overnight Stay,Accommodation,Die Übernachtung beinhaltet Frühstück.,The overnight stay includes breakfast.,Übernachtungen,—
1259,Auschecken,Verb,Auschecken,To Check Out,Accommodation,Wir möchten morgen früh auschecken.,We would like to check out early tomorrow.,—,—
1260,Buchen,Verb,Buchen,To Book,Accommodation,Ich möchte ein Zimmer für zwei Nächte buchen.,I would like to book a room for two nights.,—,—
1261,Einchecken,Verb,Einchecken,To Check In,Accommodation,Ab wann können wir einchecken?,From what time can we check in?,—,—
1262,Das Bügeleisen,das (neutrum),Bügeleisen,The Iron,Home & Living,Ich stelle das Bügeleisen auf die richtige Temperatur.,I set the iron to the correct temperature.,Bügeleisen,—
1263,Das Geschirr,das (neutrum),Geschirr,The Dishes,Home & Living,Das Geschirr steht auf dem Tisch.,The dishes are on the table.,— (Unzählbar),—
1264,Das Putzmittel,das (neutrum),Putzmittel,The Cleaning Agent,Home & Living,Wir benutzen ein mildes Putzmittel.,We use a mild cleaning agent.,Putzmittel,—
1265,Das Waschmittel,das (neutrum),Waschmittel,The Laundry Detergent,Home & Living,Wir kaufen ein duftendes Waschmittel.,We buy a scented laundry detergent.,—,—
1266,Der Abwasch,der (maskulin),Abwasch,The Washing Up,Home & Living,Der Abwasch ist schon erledigt.,The washing up is already done.,—,—
1267,Der Besen,der (maskulin),Besen,The Broom,Home & Living,"Sie nimmt den Besen, um den Boden zu fegen.",She takes the broom to sweep the floor.,Besen,—
1268,Der Eimer,der (maskulin),Eimer,The Bucket,Home & Living,Ich fülle den Eimer mit Wasser.,I fill the bucket with water.,Eimer,—
1269,Der Lappen,der (maskulin),Lappen,The Rag,Home & Living,Wir haben einen sauberen Lappen in der Küche.,We have a clean rag in the kitchen.,Lappen,—
1270,Der Mopp,der (maskulin),Mopp,The Mop,Home & Living,Er holt den Mopp aus der Abstellkammer.,He takes the mop from the storage room.,Moppe,—
1271,Der Staubsauger,der (maskulin),Staubsauger,The Vacuum Cleaner,Home & Living,Der Staubsauger steht im Flur.,The vacuum cleaner is in the hallway.,Staubsauger,—
1272,Die Spülmaschine Ausräumen,die (feminin),Spülmaschine,To Empty The Dishwasher,Home & Living,"Ich räume die Spülmaschine aus, wenn sie fertig ist.",I empty the dishwasher when it is done.,Spülmaschinen,—
1273,Das Geschirr Spülen,Phrase,Geschirr Spülen,To Wash The Dishes,Home & Living,Ich spüle nach dem Essen das Geschirr.,I wash the dishes after the meal.,—,—
1274,Die Wäsche Aufhängen,Phrase,Wäsche Aufhängen,To Hang Up The Laundry,Home & Living,Sie hängt die Wäsche im Garten auf.,She hangs up the laundry in the yard.,—,—
1275,Staub Saugen,Phrase,Staub Saugen,To Vacuum,Home & Living,Ich muss heute Staub saugen.,I need to vacuum today.,—,—
1276,Staub Wischen,Phrase,Staub Wischen,To Wipe Dust,Home & Living,Er wischt Staub auf den Möbeln.,He wipes dust on the furniture.,—,—
1277,Abstauben,Verb,Abstauben,To Dust,Home & Living,Sie staubt das Regal ab.,She dusts the shelf.,—,—
1278,Abtrocknen,Verb,Abtrocknen,To Dry,Home & Living,Sie trocknet das Geschirr ab.,She dries the dishes.,—,—
1279,Aufräumen,Verb,Aufräumen,To Tidy Up,Home & Living,Wir räumen das Wohnzimmer auf.,We tidy up the living room.,—,—
1280,Bügeln,Verb,Bügeln,To Iron,Home & Living,Ich bügle meine Hemden am Wochenende.,I iron my shirts on the weekend.,—,—
1281,Lüften,Verb,Lüften,To Air Out,Home & Living,Wir lüften jeden Tag die Zimmer.,We air out the rooms every day.,—,—
1282,Wischen,Verb,Wischen,To Mop,Home & Living,Er wischt den Boden in der Küche.,He mops the floor in the kitchen.,—,—
1283,Das Arbeitszeugnis,das (neutrum),Arbeitszeugnis,The Employment Reference,Work & Career,Das Arbeitszeugnis ist eine schriftliche Referenz des Arbeitgebers.,The employment reference is a written reference from the employer.,Arbeitszeugnisse,—
1284,Das Bewerbungsformular,das (neutrum),Bewerbungsformular,The Application Form,Work & Career,Das Bewerbungsformular muss vollständig ausgefüllt werden.,The application form must be completely filled out.,Bewerbungsformulare,—
1285,Das Vorstellungsgespräch,das (neutrum),Vorstellungsgespräch,The Job Interview,Work & Career,Das Vorstellungsgespräch findet nächste Woche statt.,The job interview takes place next week.,Vorstellungsgespräche,—
1286,Der Bewerbungsprozess,der (maskulin),Bewerbungsprozess,The Application Process,Work & Career,Der Bewerbungsprozess umfasst drei Runden.,The application process includes three rounds.,Bewerbungsprozesse,—
1287,Der Lebenslauf,der (maskulin),Lebenslauf,The Cv/Resume,Work & Career,Der Lebenslauf enthält detaillierte Informationen zu meinen bisherigen Arbeitsstellen.,The CV contains detailed information about my previous jobs.,Lebensläufe,—
1288,Der Lohn,der (maskulin),Lohn,The Wage,Work & Career,Der Lohn wird monatlich überwiesen.,The wage is transferred monthly.,—,—
1289,Der Personalberater,der (maskulin),Personalberater,The Hr Consultant,Work & Career,Der Personalberater hat mir bei der Jobsuche geholfen.,The HR consultant helped me with my job search.,Personalberater,Personalberaterin
1290,Der Stellenwechsel,der (maskulin),Stellenwechsel,The Job Change,Work & Career,Ein Stellenwechsel kann neue Chancen eröffnen.,A job change can open up new opportunities.,Stellenwechsel,—
1291,Die Gehaltsvorstellung,die (feminin),Gehaltsvorstellung,The Salary Expectation,Work & Career,Die Gehaltsvorstellung wurde im Bewerbungsgespräch besprochen.,The salary expectation was discussed during the interview.,Gehaltsvorstellungen,Gehaltsvorstellung
1292,Die Kündigung,die (feminin),Kündigung,The Termination,Work & Career,Die Kündigung wurde per Post zugestellt.,The termination was sent by mail.,Kündigungen,Kündigung
1293,Die Personalabteilung,die (feminin),Personalabteilung,The Hr Department,Work & Career,Die Personalabteilung hilft bei Fragen zu Gehaltsabrechnungen.,The HR department assists with payroll questions.,Personalabteilungen,Personalabteilung
1294,Die Probezeit,die (feminin),Probezeit,The Probationary Period,Work & Career,Während der Probezeit wird meine Leistung genau beobachtet.,"During the probationary period, my performance is closely monitored.",—,—
1295,Die Stellenanzeige,die (feminin),Stellenanzeige,The Job Advertisement,Work & Career,Die Stellenanzeige wurde auf der Firmenwebsite veröffentlicht.,The job advertisement was posted on the company’s website.,Stellenanzeigen,—
1296,Die Vergütung,die (feminin),Vergütung,The Compensation,Work & Career,Die Vergütung wird jährlich überprüft.,The compensation is reviewed annually.,Vergütungen,—
1297,Die Zeitarbeit,die (feminin),Zeitarbeit,The Temporary Work,Work & Career,Viele Unternehmen nutzen Zeitarbeit für kurzfristige Projekte.,Many companies use temporary work for short-term projects.,—,—
1298,Das Nachrichtenportal,das (neutrum),Nachrichtenportal,The News Portal,Media & Communication,Viele Menschen lesen Nachrichten auf Online-Nachrichtenportalen.,Many people read news on online news portals.,Nachrichtenportale,—
1299,Das Online-Magazin,das (neutrum),Online-Magazin,The Online Magazine,Media & Communication,Das Online-Magazin bietet interessante Artikel über Technologie.,The online magazine offers interesting articles about technology.,Online-Magazine,—
1300,Der Artikel,der (maskulin),Artikel,The Article,Media & Communication,Der Artikel wurde in einer bekannten Zeitung veröffentlicht.,The article was published in a well-known newspaper.,Artikel,—
1301,Der Journalismus,der (maskulin),Journalismus,The Journalism,Media & Communication,Journalismus sollte immer objektiv und unabhängig sein.,Journalism should always be objective and independent.,—,—
1302,Der Kommentar,der (maskulin),Kommentar,The Commentary,Media & Communication,Sein Kommentar zum Thema war sehr kontrovers.,His commentary on the topic was very controversial.,Kommentare,—
1303,Der Leitartikel,der (maskulin),Leitartikel,The Editorial / Lead Article,Media & Communication,Der Leitartikel befasst sich mit aktuellen politischen Themen.,The editorial deals with current political issues.,Leitartikel,—
1304,Der Podcast,der (maskulin),Podcast,The Podcast,Media & Communication,Wir hören jeden Morgen einen politischen Podcast.,We listen to a political podcast every morning.,Podcasts,—
1305,Der Redakteur,der (maskulin),Redakteur,The Editor,Media & Communication,Der Redakteur überarbeitet die Texte vor der Veröffentlichung.,The editor revises the texts before publication.,Redakteure,Redakteurin
1306,Die Berichterstattung,die (feminin),Berichterstattung,The Reporting,Media & Communication,Die Berichterstattung über das Ereignis war sehr ausführlich.,The reporting on the event was very detailed.,—,Berichterstattung
1307,Die Journalistin,die (feminin),Journalistin,The Female Journalist,Media & Communication,Die Journalistin interviewte mehrere Experten.,The female journalist interviewed several experts.,Journalistinnen,Journalistin
1308,Die Kategorie,die (feminin),Kategorie,The Category,Media & Communication,Die Nachrichten werden in verschiedene Kategorien eingeteilt.,The news is divided into different categories.,Kategorien,Kategorie
1309,Die Meinungsfreiheit,die (feminin),Meinungsfreiheit,The Freedom Of Speech,Media & Communication,Wir setzen uns für Meinungsfreiheit ein.,We advocate for freedom of speech.,—,Meinungsfreiheit
1310,Die Presse,die (feminin),Presse,The Press,Media & Communication,Die Presse spielt eine wichtige Rolle in der Gesellschaft.,The press plays an important role in society.,—,—
1311,Die Pressefreiheit,die (feminin),Pressefreiheit,The Press Freedom,Media & Communication,Pressefreiheit ist ein Grundrecht in vielen Ländern.,Press freedom is a fundamental right in many countries.,—,—
1312,Die Quelle,die (feminin),Quelle,The Source,Media & Communication,Die Quelle des Artikels wurde nicht genannt.,The source of the article was not mentioned.,Quellen,Quelle
1313,Die Redakteurin,die (feminin),Redakteurin,The Female Editor,Media & Communication,Die Redakteurin entscheidet über die Inhalte der Zeitung.,The female editor decides on the content of the newspaper.,Redakteurinnen,Redakteurin
1314,Die Redaktion,die (feminin),Redaktion,The Editorial Office,Media & Communication,Die Redaktion arbeitet an der neuen Ausgabe.,The editorial office is working on the new issue.,Redaktionen,Redaktion
1315,Die Reportage,die (feminin),Reportage,The Report,Media & Communication,Die Reportage dokumentiert das Leben in der Großstadt.,The report documents life in the big city.,Reportagen,Reportage
1316,Die Schlagzeile,die (feminin),Schlagzeile,The Headline,Media & Communication,Die Schlagzeile des Tages handelt von einer wichtigen Entscheidung.,The headline of the day is about an important decision.,Schlagzeilen,Schlagzeile
1317,Die Zensur,die (feminin),Zensur,The Censorship,Media & Communication,Zensur von Medien ist ein großes Problem in einigen Ländern.,Censorship of media is a big problem in some countries.,—,—
1318,Die Medien,Plural,Medien,The Media,Media & Communication,Die Medien berichten über den Vorfall weltweit.,The media report on the incident worldwide.,—,—
1319,Die Nachrichten,Plural,Nachrichten,The News,Media & Communication,Die Nachrichten informieren uns täglich über das Weltgeschehen.,The news inform us daily about world events.,—,—
1320,Rechtlich,adjektiv,Rechtlich,Legal,"Society, Politics & Legal",Das ist rechtlich nicht erlaubt.,That is legally not allowed.,—,—
1321,Schuldig,adjektiv,Schuldig,Guilty,"Society, Politics & Legal",Der Mann ist schuldig.,The man is guilty.,—,—
1322,Unschuldig,adjektiv,Unschuldig,Innocent,"Society, Politics & Legal",Er ist unschuldig.,He is innocent.,—,—
1323,Der Anwalt,der (maskulin),Anwalt,Lawyer,"Society, Politics & Legal",Der Anwalt verteidigt ihn.,The lawyer defends him.,Anwälte,Anwältin
1324,Der Betrug,der (maskulin),Betrug,Fraud,"Society, Politics & Legal",Das ist ein schwerer Betrug.,That is a serious fraud.,— (Unzählbar),—
1325,Der Beweis,der (maskulin),Beweis,Evidence,"Society, Politics & Legal",Wir brauchen einen Beweis.,We need proof.,Beweise,—
1326,Der Mord,der (maskulin),Mord,Murder,"Society, Politics & Legal",Der Mord wird untersucht.,The murder is being investigated.,—,—
1327,Der Raub,der (maskulin),Raub,Robbery,"Society, Politics & Legal",Der Raub passierte gestern.,The robbery happened yesterday.,—,—
1328,Der Richter,der (maskulin),Richter,Judge,"Society, Politics & Legal",Der Richter spricht das Urteil.,The judge pronounces the verdict.,Richter,Richterin
1329,Der Schaden,der (maskulin),Schaden,Damage,"Society, Politics & Legal",Der Schaden ist groß.,The damage is big.,Schäden,—
1330,Der Zeuge,der (maskulin),Zeuge,Witness,"Society, Politics & Legal",Der Zeuge sagt die Wahrheit.,The witness tells the truth.,Zeugen,—
1331,Die Festnahme,die (feminin),Festnahme,Arrest,"Society, Politics & Legal",Die Festnahme erfolgte schnell.,The arrest happened quickly.,Festnahmen,Festnahme
1332,Das Fieber,das (neutrum),Fieber,The Fever,Health & Wellness,Sie hat hohes Fieber.,She has a high fever.,—,—
1333,Das Medikament,das (neutrum),Medikament,The Medication,Health & Wellness,Das Medikament hilft gegen die Schmerzen.,The medication helps against the pain.,Medikamente,—
1334,Das Rezept,das (neutrum),Rezept,The Prescription,Health & Wellness,Der Arzt schreibt ein Rezept aus.,The doctor writes a prescription.,Rezepte,—
1335,Der Blutdruck,der (maskulin),Blutdruck,The Blood Pressure,Health & Wellness,Der Arzt misst seinen Blutdruck.,The doctor is measuring his blood pressure.,—,—
1336,Der Patient,der (maskulin),Patient,The Patient – Male,Health & Wellness,Der Patient wartet auf den Arzt.,The patient is waiting for the doctor.,Patienten,Patientin
1337,Die Allergie,die (feminin),Allergie,The Allergy,Health & Wellness,Er hat eine starke Allergie gegen Nüsse.,He has a strong allergy to nuts.,Allergien,Allergie
1338,Die Ärztin,die (feminin),Ärztin,The Doctor – Female,Health & Wellness,Die Ärztin hat viel Erfahrung.,The doctor has a lot of experience.,Ärztinnen,Ärztin
1339,Die Arztpraxis,die (feminin),Arztpraxis,The Doctor’S Office,Health & Wellness,Die Arztpraxis ist montags geschlossen.,The doctor’s office is closed on Mondays.,Arztpraxen,Arztpraxis
1340,Die Behandlung,die (feminin),Behandlung,The Treatment,Health & Wellness,Die Behandlung dauert zwei Wochen.,The treatment lasts two weeks.,Behandlungen,Behandlung
1341,Die Diagnose,die (feminin),Diagnose,The Diagnosis,Health & Wellness,Die Diagnose wurde gestern gestellt.,The diagnosis was made yesterday.,Diagnosen,Diagnose
1342,Die Grippe,die (feminin),Grippe,The Flu,Health & Wellness,Er erkrankt oft an der Grippe.,He often gets the flu.,—,Grippe
1343,Die Infektion,die (feminin),Infektion,The Infection,Health & Wellness,Die Infektion muss behandelt werden.,The infection needs to be treated.,Infektionen,Infektion
1344,Die Krankenversicherung,die (feminin),Krankenversicherung,Health Insurance,Health & Wellness,Sie muss ihre Krankenversicherung aktualisieren.,She needs to update her health insurance.,Krankenversicherungen,Krankenversicherung
1345,Die Operation,die (feminin),Operation,The Surgery,Health & Wellness,Die Operation war erfolgreich.,The surgery was successful.,Operationen,Operation
1346,Die Patientin,die (feminin),Patientin,The Patient – Female,Health & Wellness,Die Patientin hat eine Erkältung.,The female patient has a cold.,Patientinnen,Patientin
1347,Die Salbe,die (feminin),Salbe,The Ointment,Health & Wellness,Die Salbe hilft gegen den Ausschlag.,The ointment helps against the rash.,Salben,Salbe
1348,Die Sprechstunde,die (feminin),Sprechstunde,Consultation Hour,Health & Wellness,Die Sprechstunde beginnt um 10 Uhr.,The consultation hour starts at 10 AM.,Sprechstunden,—
1349,Die Untersuchung,die (feminin),Untersuchung,The Examination,Health & Wellness,Die Untersuchung dauert etwa eine Stunde.,The examination takes about an hour.,Untersuchungen,—
1350,Die Wartezeit,die (feminin),Wartezeit,Waiting Time,Health & Wellness,Die Wartezeit im Arztzimmer war kurz.,The waiting time in the doctor’s office was short.,Wartezeiten,—
1351,Bauchschmerzen,Plural,Bauchschmerzen,Abdominal Pain,Health & Wellness,Ich habe starke Bauchschmerzen.,I have severe abdominal pains.,—,—
1352,Halsschmerzen,Plural,Halsschmerzen,Sore Throat,Health & Wellness,Sie hat Halsschmerzen und Husten.,She has a sore throat and cough.,—,—
1353,Kopfschmerzen,Plural,Kopfschmerzen,Headache,Health & Wellness,Er hat seit gestern Kopfschmerzen.,He has had a headache since yesterday.,—,—
1354,Symptome,Plural,Symptome,Symptoms,Health & Wellness,Die Symptome sind Fieber und Husten.,The symptoms are fever and cough.,—,—
1355,Der Husten,Verb/Nomen,Husten,The Cough,Health & Wellness,Der Husten wird schlimmer.,The cough is getting worse.,—,—
1356,Der April,der (maskulin),April,The April,Time & Calendar,Im April blühen die Blumen.,"In April, the flowers bloom.",—,—
1357,Der August,der (maskulin),August,The August,Time & Calendar,Der August ist oft sehr heiß.,August is often very hot.,—,—
1358,Der Dezember,der (maskulin),Dezember,The December,Time & Calendar,Wir feiern Weihnachten im Dezember.,We celebrate Chri,—,—
1359,Der Februar,der (maskulin),Februar,The February,Time & Calendar,Der Februar hat manchmal 29 Tage.,February sometimes has 29 days.,—,—
1360,Der Januar,der (maskulin),Januar,The January,Time & Calendar,Das neue Jahr beginnt im Januar.,The new year starts in January.,—,—
1361,Der Juli,der (maskulin),Juli,The July,Time & Calendar,Im Juli haben wir Sommerferien.,"In July, we have summer holidays.",—,—
1362,Der Juni,der (maskulin),Juni,The June,Time & Calendar,Der Sommer beginnt im Juni.,Summer starts in June.,—,—
