id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
1159,Die Selbstbeteiligung,die (feminin),Selbstbeteiligung,The Deductible,Healthcare,Ihre Selbstbeteiligung beträgt 100 Euro pro Jahr.,Her deductible is 100 euros per year.,—,—
1160,Die Versicherungspolice,die (feminin),Versicherungspolice,The Insurance Policy,Healthcare,Bitte bewahren Sie Ihre Versicherungspolice an einem sicheren Ort auf.,Please keep your insurance policy in a safe place.,Versicherungspolicen,—
1161,Die Vorsorgeuntersuchung,die (feminin),Vorsorgeuntersuchung,The Preventive Check-Up,Healthcare,Bei der jährlichen Vorsorgeuntersuchung checkt der Arzt deine Gesundheit.,"At the yearly preventive check-up, the doctor checks your health.",Vorsorgeuntersuchungen,—
1162,Die Zusatzversicherung,die (feminin),Zusatzversicherung,The Supplementary Insurance,Healthcare,Eine Zusatzversicherung kann private Leistungen abdecken.,A supplementary insurance can cover private services.,Zusatzversicherungen,—
1163,Die Ambulante Behandlung,Phrase,Ambulante Behandlung,The Outpatient Treatment,Healthcare,Nach der ambulanten Behandlung konnte er sofort nach Hause gehen.,"After the outpatient treatment, he could go home immediately.",—,—
1164,Die Ärztliche Untersuchung,Phrase,Ärztliche Untersuchung,The Medical Examination,Healthcare,Die ärztliche Untersuchung dauerte etwa 20 Minuten.,The medical examination took about 20 minutes.,—,—
1165,Brettspiele Spielen,Phrase,Brettspiele Spielen,To Play Board Games,Hobbies,Wir spielen abends Brettspiele.,We play board games in the evenings.,—,—
1166,Computerspiele Spielen,Phrase,Computerspiele Spielen,To Play Computer Games,Hobbies,Mein Bruder spielt oft Computerspiele.,My brother often plays computer games.,—,—
1167,Das Hobby Haben,Phrase,Hobby Haben,To Have A Hobby,Hobbies,Hast du ein interessantes Hobby?,Do you have an interesting hobby?,—,—
1168,Freizeit Haben,Phrase,Freizeit Haben,To Have Free Time,Hobbies,In meiner Freizeit lese ich Bücher.,I read books in my free time.,—,—
1169,Rad Fahren,Phrase,Rad Fahren,To Ride A Bike,Hobbies,Wir fahren gern Rad.,We like to ride bikes.,—,—
1170,Sich Mit Freunden Treffen,Phrase,Sich Mit Freunden Treffen,To Meet With Friends,Hobbies,Am Freitag treffe ich mich mit Freunden.,I meet with friends on Friday.,—,—
1171,Ski Fahren,Phrase,Ski Fahren,To Ski,Hobbies,Im Winter gehen wir Ski fahren.,We go skiing in the winter.,—,—
1172,Sport Treiben,Phrase,Sport Treiben,To Do Sports,Hobbies,Er treibt viel Sport.,He does a lot of sports.,—,—
1173,Campen,Verb,Campen,To Camp,Hobbies,Im Sommer gehen wir gerne campen.,We like to go camping in the summer.,—,—
1174,Fahren,Verb,Fahren,"To Drive (Ride, Etc.)",Hobbies,Am Wochenende fahre ich Motorrad.,I ride my motorcycle on the weekend.,—,—
1175,Fotografieren,Verb,Fotografieren,To Take Photos,Hobbies,Er fotografiert gerne Landschaften.,He likes to take photos of landscapes.,—,—
1176,Gärtnern,Verb,Gärtnern,To Garden,Hobbies,Meine Großeltern gärtnern jeden Tag.,My grandparents garden every day.,—,—
1177,Joggen,Verb,Joggen,To Jog,Hobbies,Ich gehe morgens joggen.,I go jogging in the morning.,—,—
1178,Klettern,Verb,Klettern,To Climb,Hobbies,Sie klettert gerne auf Berge.,She likes climbing mountains.,—,—
1179,Laufen,Verb,Laufen,To Run,Hobbies,Er läuft jeden Tag fünf Kilometer.,He runs five kilometers every day.,—,—
1180,Malen,Verb,Malen,To Paint,Hobbies,Ich male ein Bild.,I am painting a picture.,—,—
1181,Musizieren,Verb,Musizieren,To Make Music,Hobbies,Die Band musiziert im Park.,The band is making music in the park.,—,—
1182,Reiten,Verb,Reiten,To Ride (A Horse),Hobbies,Er reitet jedes Wochenende.,He rides horses every weekend.,—,—
1183,Sammeln,Verb,Sammeln,To Collect,Hobbies,Ich sammle Briefmarken.,I collect stamps.,—,—
1184,Schwimmen,Verb,Schwimmen,To Swim,Hobbies,Wir gehen im See schwimmen.,We go swimming in the lake.,—,—
1185,Singen,Verb,Singen,To Sing,Hobbies,Er singt im Chor.,He sings in the choir.,—,—
1186,Surfen,Verb,Surfen,To Surf,Hobbies,Ich möchte lernen zu surfen.,I want to learn to surf.,—,—
1187,Tauchen,Verb,Tauchen,To Dive,Hobbies,Sie taucht im Meer.,She dives in the sea.,—,—
1188,Wandern,Verb,Wandern,To Hike,Hobbies,Am Wochenende gehen wir wandern.,We go hiking on the weekend.,—,—
1189,Zeichnen,Verb,Zeichnen,To Draw,Hobbies,Er zeichnet ein Portrait.,He is drawing a portrait.,—,—
1190,Angeln,Verb/Nomen,Angeln,To Fish,Hobbies,Am Wochenende gehe ich angeln.,I go fishing on the weekend.,—,—
1191,Backen,Verb/Nomen,Backen,To Bake,Hobbies,Meine Mutter liebt es zu backen.,My mother loves to bake.,—,—
1192,Basteln,Verb/Nomen,Basteln,To Do Crafts,Hobbies,Die Kinder basteln gerne mit Papier.,The children like to do crafts with paper.,—,—
1193,Tanzen,Verb/Nomen,Tanzen,To Dance,Hobbies,Wir tanzen gerne Salsa.,We like dancing salsa.,—,—
1194,Das Erntedankfest,das (neutrum),Erntedankfest,The Harvest Festival / Thanksgiving,Holidays,Wir feiern das Erntedankfest mit einem großen Essen.,We celebrate the harvest festival with a big meal.,Erntedankfeste,—
1195,Das Feuerwerk,das (neutrum),Feuerwerk,The Fireworks / The Firework Display,Holidays,Um Mitternacht schauen wir uns das Feuerwerk an.,At midnight we watch the fireworks.,Feuerwerke,—
1196,Das Geschenk,das (neutrum),Geschenk,The Gift / The Present,Holidays,Sie bekommt ein schönes Geschenk zum Geburtstag.,She receives a nice present for her birthday.,Geschenke,—
1197,Das Jubiläum,das (neutrum),Jubiläum,The Anniversary / The Jubilee,Holidays,Das Unternehmen begeht sein 50-jähriges Jubiläum.,The company is celebrating its 50th anniversary.,Jubiläen,—
1198,Das Kostüm,das (neutrum),Kostüm,The Costume,Holidays,Zum Karneval trägt sie ein lustiges Kostüm.,She wears a funny costume for carnival.,Kostüme,—
1199,Das Neujahr,das (neutrum),Neujahr,(The) New Year’S Day,Holidays,Wir begrüßen das Neujahr mit Sekt und guten Wünschen.,We welcome the New Year with sparkling wine and good wishes.,—,—
1200,Ostern,das (neutrum),Ostern,Easter,Holidays,Ostern feiern wir mit der ganzen Familie.,We celebrate Easter with the whole family.,—,—
1201,Silvester,das (neutrum),Silvester,New Year’S Eve,Holidays,An Silvester stoßen wir mit Sekt auf das neue Jahr an.,"On New Year’s Eve, we toast the new year with sparkling wine.",—,—
1202,Das Fest,das (neutrum)/adjektiv,Fest,The Festival / The Celebration,Holidays,Das Fest dauert bis spät in die Nacht.,The party lasts until late at night.,Feste,—
1203,(Der) Nikolaus,der (maskulin),Nikolaus,St. Nicholas,Holidays,Der Nikolaus bringt am 6. Dezember kleine Geschenke.,St. Nicholas brings small gifts on December 6.,—,—
1204,Der Advent,der (maskulin),Advent,The Advent,Holidays,Der Advent beginnt vier Sonntage vor Weihnachten.,The Advent starts four Sundays before Christmas.,—,—
1205,Der Adventskranz,der (maskulin),Adventskranz,The Advent Wreath,Holidays,Wir zünden jeden Sonntag eine Kerze am Adventskranz an.,We light a candle on the Advent wreath each Sunday.,Adventskränze,—
1206,Der Feiertag,der (maskulin),Feiertag,The (Public) Holiday,Holidays,An einem Feiertag haben viele Geschäfte geschlossen.,Many stores are closed on a public holiday.,Feiertage,—
1207,Der Geburtstag,der (maskulin),Geburtstag,The Birthday,Holidays,Ich habe heute Geburtstag und lade meine Familie ein.,"Today is my birthday, and I am inviting my family.",Geburtstage,—
1208,Der Heiligabend,der (maskulin),Heiligabend,(The) Christmas Eve,Holidays,Am Heiligabend gehen wir in die Kirche.,We go to church on Christmas Eve.,—,—
1209,Der Hochzeitstag,der (maskulin),Hochzeitstag,The Wedding Anniversary,Holidays,Wir feiern unseren Hochzeitstag mit einem Ausflug.,We celebrate our wedding anniversary with a trip.,Hochzeitstage,—
1210,Der Karneval,der (maskulin),Karneval,The Carnival,Holidays,Der Karneval bringt viele bunte Umzüge.,The carnival features many colorful parades.,—,—
1211,Der Osterhase,der (maskulin),Osterhase,The Easter Bunny,Holidays,Der Osterhase versteckt Schokoladeneier im Garten.,The Easter Bunny hides chocolate eggs in the garden.,Osterhasen,—
1212,Der Weihnachtsbaum,der (maskulin),Weihnachtsbaum,The Christmas Tree,Holidays,Der Weihnachtsbaum steht im Wohnzimmer.,The Christmas tree is in the living room.,Weihnachtsbäume,—
1213,Die Dekoration,die (feminin),Dekoration,The Decoration,Holidays,Die Dekoration macht das Zimmer festlich.,The decoration makes the room festive.,Dekorationen,Dekoration
1214,Die Einladung,die (feminin),Einladung,The Invitation,Holidays,Ich schicke die Einladung an meine Freunde.,I am sending the invitation to my friends.,Einladungen,Einladung
1215,Die Feier,die (feminin),Feier,The Celebration / The Party,Holidays,Die Feier findet im Garten statt.,The celebration takes place in the garden.,Feiern,Feier
1216,Die Geburtstagsfeier,die (feminin),Geburtstagsfeier,The Birthday Party,Holidays,Die Geburtstagsfeier ist im Garten geplant.,The birthday party is planned in the garden.,Geburtstagsfeiern,Geburtstagsfeier
1217,Die Tradition,die (feminin),Tradition,The Tradition,Holidays,"Die Tradition verlangt, dass wir einen Tannenbaum schmücken.",The tradition calls for us to decorate a Christmas tree.,Traditionen,—
1218,Weihnachten,Plural,Weihnachten,Christmas,Holidays,Weihnachten ist für viele Menschen ein Familienfest.,Christmas is a family celebration for many people.,—,—
1219,Das Badezimmer,das (neutrum),Badezimmer,The Bathroom,Home & Living,Wir renovieren das Badezimmer im Frühjahr.,We are renovating the bathroom in spring.,Badezimmer,—
1220,Das Dach,das (neutrum),Dach,The Roof,Home & Living,Das Dach muss dringend repariert werden.,The roof needs urgent repair.,Dächer,—
1221,Das Fenster,das (neutrum),Fenster,The Window,Home & Living,"Öffne das Fenster, es ist zu warm hier drinnen.","Open the window, it’s too warm inside.",Fenster,—
1222,Das Haus,das (neutrum),Haus,The House,Home & Living,Das Haus wurde 1904 erbaut.,The house was built in 1904.,Häuser,—
1223,Das Schlafzimmer,das (neutrum),Schlafzimmer,The Bedroom,Home & Living,Das Schlafzimmer ist sehr geräumig.,The bedroom is very spacious.,Schlafzimmer,—
1224,Das Wohnzimmer,das (neutrum),Wohnzimmer,The Living Room,Home & Living,Das Wohnzimmer ist gemütlich eingerichtet.,The living room is cozily furnished.,Wohnzimmer,—
1225,Das Zimmer,das (neutrum),Zimmer,The Room,Home & Living,Das Zimmer wird mein neues Büro.,The room will be my new office.,Zimmer,—
1226,Der Balkon,der (maskulin),Balkon,The Balcony,Home & Living,Der Balkon bietet einen herrlichen Ausblick.,The balcony offers a magnificent view.,Balkone,—
1227,Der Flur,der (maskulin),Flur,The Corridor,Home & Living,Im Flur steht eine antike Kommode.,There is an antique chest of drawers in the corridor.,Flure,—
1228,Der Garten,der (maskulin),Garten,The Garden,Home & Living,Der Garten blüht im Sommer vollständig auf.,The garden fully blooms in the summer.,Gärten,—
1229,Der Mieter,der (maskulin),Mieter,The Tenant,Home & Living,Der Mieter zahlt seine Miete immer pünktlich.,The tenant always pays his rent on time.,Mieter,Mieterin
1230,Der Umzug,der (maskulin),Umzug,The Move,Home & Living,Der Umzug war anstrengender als erwartet.,The move was more exhausting than expected.,Umzüge,—
1231,Der Vermieter,der (maskulin),Vermieter,The Landlord,Home & Living,Der Vermieter hat die Reparaturen versprochen.,The landlord has promised the repairs.,Vermieter,—
1232,Die Adresse,die (feminin),Adresse,The Address,Home & Living,Die neue Adresse ist leicht zu merken.,The new address is easy to remember.,Adressen,Adresse
1233,Die Küche,die (feminin),Küche,The Kitchen,Home & Living,Die Küche ist das Herz des Hauses.,The kitchen is the heart of the home.,Küchen,Küche
1234,Die Miete,die (feminin),Miete,The Rent,Home & Living,Die Miete steigt jedes Jahr.,The rent increases every year.,Mieten,Miete
1235,Die Mieterin,die (feminin),Mieterin,The Tenant (Female),Home & Living,Die Mieterin hat sich über Lärm beschwert.,The female tenant complained about noise.,Mieterinnen,Mieterin
1236,Die Treppe,die (feminin),Treppe,The Stairs,Home & Living,Die Treppe knarrt bei jedem Schritt.,The stairs creak with every step.,Treppen,—
1237,Die Tür,die (feminin),Tür,The Door,Home & Living,Die Tür klemmt im Winter.,The door jams in the winter.,Türen,—
1238,Die Wohnung,die (feminin),Wohnung,The Flat,Home & Living,Die Wohnung liegt im dritten Stock.,The flat is on the third floor.,Wohnungen,—
1239,Umziehen,Verb,Umziehen,To Move,Home & Living,Nächstes Jahr werden wir nach Berlin umziehen.,"Next year, we will move to Berlin.",—,—
1240,Besetzt,adjektiv,Besetzt,Occupied,Hotels,Leider sind alle Zimmer besetzt.,"Unfortunately, all rooms are occupied.",—,—
1241,Frei/Verfügbar,adjektiv,Frei/Verfügbar,Available,Hotels,Haben Sie noch Zimmer frei?,Do you have any rooms available?,—,—
1242,Das Doppelzimmer,das (neutrum),Doppelzimmer,The Double Room,Hotels,Wir hätten gern ein Doppelzimmer mit Meerblick.,We would like a double room with a sea view.,Doppelzimmer,—
1243,Das Einzelzimmer,das (neutrum),Einzelzimmer,The Single Room,Hotels,Gibt es noch ein Einzelzimmer frei?,Is there a single room still available?,Einzelzimmer,—
1244,Das Hostel,das (neutrum),Hostel,The Hostel,Hotels,Das Hostel bietet günstige Übernachtungen.,The hostel offers affordable accommodations.,Hostels,—
1245,Der Aufenthalt,der (maskulin),Aufenthalt,The Stay,Hotels,"Ich hoffe, Sie genießen Ihren Aufenthalt.",I hope you enjoy your stay.,Aufenthalte,—
1246,Der Aufzug,der (maskulin),Aufzug,The Elevator,Hotels,Der Aufzug befindet sich neben der Rezeption.,The elevator is located next to the reception.,Aufzüge,—
1247,Der Fernseher,der (maskulin),Fernseher,The Television,Hotels,Der Fernseher in meinem Zimmer funktioniert nicht.,The television in my room isn’t working.,Fernseher,—
1248,Der Frühstücksraum,der (maskulin),Frühstücksraum,The Breakfast Room,Hotels,Der Frühstücksraum ist im Erdgeschoss.,The breakfast room is on the ground floor.,Frühstücksräume,—
1249,Der Gast,der (maskulin),Gast,The Guest,Hotels,Jeder Gast erhält ein Willkommensgetränk.,Every guest receives a welcome drink.,Gäste,gastin
1250,Der Safe,der (maskulin),Safe,The Safe,Hotels,Sie können Ihre Wertsachen im Safe aufbewahren.,You can store your valuables in the safe.,Safes,—
1251,Der Schlüssel,der (maskulin),Schlüssel,The Key,Hotels,Hier ist Ihr Schlüssel für Zimmer 101.,Here is your key for room 101.,Schlüssel,—
1252,Der Service,der (maskulin),Service,The Service,Hotels,Der Service im Hotel ist ausgezeichnet.,The service at the hotel is excellent.,Services,—
1253,Der Zimmerservice,der (maskulin),Zimmerservice,The Room Service,Hotels,Der Zimmerservice ist bis 22 Uhr verfügbar.,Room service is available until 10 PM.,—,—
1254,Die Buchung,die (feminin),Buchung,The Booking,Hotels,Haben Sie eine Buchungsbestätigung?,Do you have a booking confirmation?,Buchungen,Buchung
1255,Die Klimaanlage,die (feminin),Klimaanlage,The Air Conditioning,Hotels,Die Klimaanlage ist individuell einstellbar.,The air conditioning can be adjusted individually.,Klimaanlagen,Klimaanlage
1256,Die Reservierung,die (feminin),Reservierung,The Reservation,Hotels,Ich habe eine Reservierung auf den Namen Müller.,I have a reservation under the name Müller.,Reservierungen,Reservierung
1257,Die Rezeption,die (feminin),Rezeption,The Reception,Hotels,Die Rezeption ist rund um die Uhr besetzt.,The reception is staffed around the clock.,—,Rezeption
1258,Die Übernachtung,die (feminin),Übernachtung,The Overnight Stay,Hotels,Die Übernachtung beinhaltet Frühstück.,The overnight stay includes breakfast.,Übernachtungen,—
1259,Auschecken,Verb,Auschecken,To Check Out,Hotels,Wir möchten morgen früh auschecken.,We would like to check out early tomorrow.,—,—
1260,Buchen,Verb,Buchen,To Book,Hotels,Ich möchte ein Zimmer für zwei Nächte buchen.,I would like to book a room for two nights.,—,—
1261,Einchecken,Verb,Einchecken,To Check In,Hotels,Ab wann können wir einchecken?,From what time can we check in?,—,—
1262,Das Bügeleisen,das (neutrum),Bügeleisen,The Iron,House,Ich stelle das Bügeleisen auf die richtige Temperatur.,I set the iron to the correct temperature.,Bügeleisen,—
1263,Das Geschirr,das (neutrum),Geschirr,The Dishes,House,Das Geschirr steht auf dem Tisch.,The dishes are on the table.,— (Unzählbar),—
1264,Das Putzmittel,das (neutrum),Putzmittel,The Cleaning Agent,House,Wir benutzen ein mildes Putzmittel.,We use a mild cleaning agent.,Putzmittel,—
1265,Das Waschmittel,das (neutrum),Waschmittel,The Laundry Detergent,House,Wir kaufen ein duftendes Waschmittel.,We buy a scented laundry detergent.,—,—
1266,Der Abwasch,der (maskulin),Abwasch,The Washing Up,House,Der Abwasch ist schon erledigt.,The washing up is already done.,—,—
1267,Der Besen,der (maskulin),Besen,The Broom,House,"Sie nimmt den Besen, um den Boden zu fegen.",She takes the broom to sweep the floor.,Besen,—
1268,Der Eimer,der (maskulin),Eimer,The Bucket,House,Ich fülle den Eimer mit Wasser.,I fill the bucket with water.,Eimer,—
1269,Der Lappen,der (maskulin),Lappen,The Rag,House,Wir haben einen sauberen Lappen in der Küche.,We have a clean rag in the kitchen.,Lappen,—
1270,Der Mopp,der (maskulin),Mopp,The Mop,House,Er holt den Mopp aus der Abstellkammer.,He takes the mop from the storage room.,Moppe,—
1271,Der Staubsauger,der (maskulin),Staubsauger,The Vacuum Cleaner,House,Der Staubsauger steht im Flur.,The vacuum cleaner is in the hallway.,Staubsauger,—
1272,Die Spülmaschine Ausräumen,die (feminin),Spülmaschine,To Empty The Dishwasher,House,"Ich räume die Spülmaschine aus, wenn sie fertig ist.",I empty the dishwasher when it is done.,Spülmaschinen,—
1273,Das Geschirr Spülen,Phrase,Geschirr Spülen,To Wash The Dishes,House,Ich spüle nach dem Essen das Geschirr.,I wash the dishes after the meal.,—,—
1274,Die Wäsche Aufhängen,Phrase,Wäsche Aufhängen,To Hang Up The Laundry,House,Sie hängt die Wäsche im Garten auf.,She hangs up the laundry in the yard.,—,—
1275,Staub Saugen,Phrase,Staub Saugen,To Vacuum,House,Ich muss heute Staub saugen.,I need to vacuum today.,—,—
1276,Staub Wischen,Phrase,Staub Wischen,To Wipe Dust,House,Er wischt Staub auf den Möbeln.,He wipes dust on the furniture.,—,—
1277,Abstauben,Verb,Abstauben,To Dust,House,Sie staubt das Regal ab.,She dusts the shelf.,—,—
1278,Abtrocknen,Verb,Abtrocknen,To Dry,House,Sie trocknet das Geschirr ab.,She dries the dishes.,—,—
1279,Aufräumen,Verb,Aufräumen,To Tidy Up,House,Wir räumen das Wohnzimmer auf.,We tidy up the living room.,—,—
1280,Bügeln,Verb,Bügeln,To Iron,House,Ich bügle meine Hemden am Wochenende.,I iron my shirts on the weekend.,—,—
1281,Lüften,Verb,Lüften,To Air Out,House,Wir lüften jeden Tag die Zimmer.,We air out the rooms every day.,—,—
1282,Wischen,Verb,Wischen,To Mop,House,Er wischt den Boden in der Küche.,He mops the floor in the kitchen.,—,—
1283,Das Arbeitszeugnis,das (neutrum),Arbeitszeugnis,The Employment Reference,Job,Das Arbeitszeugnis ist eine schriftliche Referenz des Arbeitgebers.,The employment reference is a written reference from the employer.,Arbeitszeugnisse,—
1284,Das Bewerbungsformular,das (neutrum),Bewerbungsformular,The Application Form,Job,Das Bewerbungsformular muss vollständig ausgefüllt werden.,The application form must be completely filled out.,Bewerbungsformulare,—
1285,Das Vorstellungsgespräch,das (neutrum),Vorstellungsgespräch,The Job Interview,Job,Das Vorstellungsgespräch findet nächste Woche statt.,The job interview takes place next week.,Vorstellungsgespräche,—
1286,Der Bewerbungsprozess,der (maskulin),Bewerbungsprozess,The Application Process,Job,Der Bewerbungsprozess umfasst drei Runden.,The application process includes three rounds.,Bewerbungsprozesse,—
1287,Der Lebenslauf,der (maskulin),Lebenslauf,The Cv/Resume,Job,Der Lebenslauf enthält detaillierte Informationen zu meinen bisherigen Arbeitsstellen.,The CV contains detailed information about my previous jobs.,Lebensläufe,—
1288,Der Lohn,der (maskulin),Lohn,The Wage,Job,Der Lohn wird monatlich überwiesen.,The wage is transferred monthly.,—,—
1289,Der Personalberater,der (maskulin),Personalberater,The Hr Consultant,Job,Der Personalberater hat mir bei der Jobsuche geholfen.,The HR consultant helped me with my job search.,Personalberater,Personalberaterin
1290,Der Stellenwechsel,der (maskulin),Stellenwechsel,The Job Change,Job,Ein Stellenwechsel kann neue Chancen eröffnen.,A job change can open up new opportunities.,Stellenwechsel,—
1291,Die Gehaltsvorstellung,die (feminin),Gehaltsvorstellung,The Salary Expectation,Job,Die Gehaltsvorstellung wurde im Bewerbungsgespräch besprochen.,The salary expectation was discussed during the interview.,Gehaltsvorstellungen,Gehaltsvorstellung
1292,Die Kündigung,die (feminin),Kündigung,The Termination,Job,Die Kündigung wurde per Post zugestellt.,The termination was sent by mail.,Kündigungen,Kündigung
1293,Die Personalabteilung,die (feminin),Personalabteilung,The Hr Department,Job,Die Personalabteilung hilft bei Fragen zu Gehaltsabrechnungen.,The HR department assists with payroll questions.,Personalabteilungen,Personalabteilung
1294,Die Probezeit,die (feminin),Probezeit,The Probationary Period,Job,Während der Probezeit wird meine Leistung genau beobachtet.,"During the probationary period, my performance is closely monitored.",—,—
1295,Die Stellenanzeige,die (feminin),Stellenanzeige,The Job Advertisement,Job,Die Stellenanzeige wurde auf der Firmenwebsite veröffentlicht.,The job advertisement was posted on the company’s website.,Stellenanzeigen,—
1296,Die Vergütung,die (feminin),Vergütung,The Compensation,Job,Die Vergütung wird jährlich überprüft.,The compensation is reviewed annually.,Vergütungen,—
1297,Die Zeitarbeit,die (feminin),Zeitarbeit,The Temporary Work,Job,Viele Unternehmen nutzen Zeitarbeit für kurzfristige Projekte.,Many companies use temporary work for short-term projects.,—,—
1298,Das Nachrichtenportal,das (neutrum),Nachrichtenportal,The News Portal,Journalism,Viele Menschen lesen Nachrichten auf Online-Nachrichtenportalen.,Many people read news on online news portals.,Nachrichtenportale,—
1299,Das Online-Magazin,das (neutrum),Online-Magazin,The Online Magazine,Journalism,Das Online-Magazin bietet interessante Artikel über Technologie.,The online magazine offers interesting articles about technology.,Online-Magazine,—
1300,Der Artikel,der (maskulin),Artikel,The Article,Journalism,Der Artikel wurde in einer bekannten Zeitung veröffentlicht.,The article was published in a well-known newspaper.,Artikel,—
1301,Der Journalismus,der (maskulin),Journalismus,The Journalism,Journalism,Journalismus sollte immer objektiv und unabhängig sein.,Journalism should always be objective and independent.,—,—
1302,Der Kommentar,der (maskulin),Kommentar,The Commentary,Journalism,Sein Kommentar zum Thema war sehr kontrovers.,His commentary on the topic was very controversial.,Kommentare,—
1303,Der Leitartikel,der (maskulin),Leitartikel,The Editorial / Lead Article,Journalism,Der Leitartikel befasst sich mit aktuellen politischen Themen.,The editorial deals with current political issues.,Leitartikel,—
1304,Der Podcast,der (maskulin),Podcast,The Podcast,Journalism,Wir hören jeden Morgen einen politischen Podcast.,We listen to a political podcast every morning.,Podcasts,—
1305,Der Redakteur,der (maskulin),Redakteur,The Editor,Journalism,Der Redakteur überarbeitet die Texte vor der Veröffentlichung.,The editor revises the texts before publication.,Redakteure,Redakteurin
1306,Die Berichterstattung,die (feminin),Berichterstattung,The Reporting,Journalism,Die Berichterstattung über das Ereignis war sehr ausführlich.,The reporting on the event was very detailed.,—,Berichterstattung
1307,Die Journalistin,die (feminin),Journalistin,The Female Journalist,Journalism,Die Journalistin interviewte mehrere Experten.,The female journalist interviewed several experts.,Journalistinnen,Journalistin
1308,Die Kategorie,die (feminin),Kategorie,The Category,Journalism,Die Nachrichten werden in verschiedene Kategorien eingeteilt.,The news is divided into different categories.,Kategorien,Kategorie
1309,Die Meinungsfreiheit,die (feminin),Meinungsfreiheit,The Freedom Of Speech,Journalism,Wir setzen uns für Meinungsfreiheit ein.,We advocate for freedom of speech.,—,Meinungsfreiheit
1310,Die Presse,die (feminin),Presse,The Press,Journalism,Die Presse spielt eine wichtige Rolle in der Gesellschaft.,The press plays an important role in society.,—,—
1311,Die Pressefreiheit,die (feminin),Pressefreiheit,The Press Freedom,Journalism,Pressefreiheit ist ein Grundrecht in vielen Ländern.,Press freedom is a fundamental right in many countries.,—,—
1312,Die Quelle,die (feminin),Quelle,The Source,Journalism,Die Quelle des Artikels wurde nicht genannt.,The source of the article was not mentioned.,Quellen,Quelle
1313,Die Redakteurin,die (feminin),Redakteurin,The Female Editor,Journalism,Die Redakteurin entscheidet über die Inhalte der Zeitung.,The female editor decides on the content of the newspaper.,Redakteurinnen,Redakteurin
1314,Die Redaktion,die (feminin),Redaktion,The Editorial Office,Journalism,Die Redaktion arbeitet an der neuen Ausgabe.,The editorial office is working on the new issue.,Redaktionen,Redaktion
1315,Die Reportage,die (feminin),Reportage,The Report,Journalism,Die Reportage dokumentiert das Leben in der Großstadt.,The report documents life in the big city.,Reportagen,Reportage
1316,Die Schlagzeile,die (feminin),Schlagzeile,The Headline,Journalism,Die Schlagzeile des Tages handelt von einer wichtigen Entscheidung.,The headline of the day is about an important decision.,Schlagzeilen,Schlagzeile
1317,Die Zensur,die (feminin),Zensur,The Censorship,Journalism,Zensur von Medien ist ein großes Problem in einigen Ländern.,Censorship of media is a big problem in some countries.,—,—
1318,Die Medien,Plural,Medien,The Media,Journalism,Die Medien berichten über den Vorfall weltweit.,The media report on the incident worldwide.,—,—
1319,Die Nachrichten,Plural,Nachrichten,The News,Journalism,Die Nachrichten informieren uns täglich über das Weltgeschehen.,The news inform us daily about world events.,—,—
1320,Rechtlich,adjektiv,Rechtlich,Legal,Legal,Das ist rechtlich nicht erlaubt.,That is legally not allowed.,—,—
1321,Schuldig,adjektiv,Schuldig,Guilty,Legal,Der Mann ist schuldig.,The man is guilty.,—,—
1322,Unschuldig,adjektiv,Unschuldig,Innocent,Legal,Er ist unschuldig.,He is innocent.,—,—
1323,Der Anwalt,der (maskulin),Anwalt,Lawyer,Legal,Der Anwalt verteidigt ihn.,The lawyer defends him.,Anwälte,Anwältin
1324,Der Betrug,der (maskulin),Betrug,Fraud,Legal,Das ist ein schwerer Betrug.,That is a serious fraud.,— (Unzählbar),—
1325,Der Beweis,der (maskulin),Beweis,Evidence,Legal,Wir brauchen einen Beweis.,We need proof.,Beweise,—
1326,Der Mord,der (maskulin),Mord,Murder,Legal,Der Mord wird untersucht.,The murder is being investigated.,—,—
1327,Der Raub,der (maskulin),Raub,Robbery,Legal,Der Raub passierte gestern.,The robbery happened yesterday.,—,—
1328,Der Richter,der (maskulin),Richter,Judge,Legal,Der Richter spricht das Urteil.,The judge pronounces the verdict.,Richter,Richterin
1329,Der Schaden,der (maskulin),Schaden,Damage,Legal,Der Schaden ist groß.,The damage is big.,Schäden,—
1330,Der Zeuge,der (maskulin),Zeuge,Witness,Legal,Der Zeuge sagt die Wahrheit.,The witness tells the truth.,Zeugen,—
1331,Die Festnahme,die (feminin),Festnahme,Arrest,Legal,Die Festnahme erfolgte schnell.,The arrest happened quickly.,Festnahmen,Festnahme
1332,Das Fieber,das (neutrum),Fieber,The Fever,Medical,Sie hat hohes Fieber.,She has a high fever.,—,—
1333,Das Medikament,das (neutrum),Medikament,The Medication,Medical,Das Medikament hilft gegen die Schmerzen.,The medication helps against the pain.,Medikamente,—
1334,Das Rezept,das (neutrum),Rezept,The Prescription,Medical,Der Arzt schreibt ein Rezept aus.,The doctor writes a prescription.,Rezepte,—
1335,Der Blutdruck,der (maskulin),Blutdruck,The Blood Pressure,Medical,Der Arzt misst seinen Blutdruck.,The doctor is measuring his blood pressure.,—,—
1336,Der Patient,der (maskulin),Patient,The Patient – Male,Medical,Der Patient wartet auf den Arzt.,The patient is waiting for the doctor.,Patienten,Patientin
